team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
49ers,SF,14,,REDGE,553388898,Mykel Williams,1,0,10782,98,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,WILL,553387660,Nick Martin,1,0,10647,45,1,8.00,0,0,0,0,1,4,0.00,0,0,5.00
49ers,SF,14,,FS,553387899,Malik Mustapha,2,0,10191,6,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,CB,553386974,Renardo Green,2,0,10090,0,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
49ers,SF,14,,SS,553386316,Ji'Ayir Brown,3,0,1874,27,1,7.00,0,1,1,0,0,0,0.00,0,0,4.00
49ers,SF,14,,CB,553387395,Jack Jones,4,0,1788,34,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,FS,553386213,Reed Blankenship,4,0,2850,32,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
49ers,SF,14,,CB,553387562,Deommodore Lenoir,5,0,1205,2,1,2.00,0,1,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,MIKE,553388792,Fred Warner,8,0,9101,54,1,8.00,0,0,1,0,1,1,0.00,0,0,2.00
49ers,SF,14,,SAM,553385994,Jamal Adams,9,0,8463,33,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,SAM,553387458,Eric Kendricks,11,0,7200,50,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,FS,553386209,Kadeem McLaughlin,0,0,3554,36,2,12.00,0,1,0,1,0,0,0.00,0,1,6.00
Bears,CHI,0,,FS,553387412,Rashard Bass,0,0,3832,14,1,7.00,0,1,0,0,0,0,0.00,0,0,7.00
Bears,CHI,0,,MIKE,553386619,Steven Forbes,0,0,3491,54,2,3.00,0,0,0,0,0,0,0.50,0,0,2.00
Bears,CHI,0,,REDGE,553389105,Terrell Sullivan,0,0,3950,97,1,7.00,0,0,0,0,1,4,1.50,0,0,1.00
Bears,CHI,0,,SAM,553387233,Ruben Hyppolite II,1,0,10915,47,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Bears,CHI,0,,DT,553388711,Shemar Turner,1,5,10761,95,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bears,CHI,0,,CB,553386853,Zah Frazier,1,0,10795,35,2,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bears,CHI,0,,DT,553386631,Gervon Dexter Sr,3,0,2108,99,2,10.00,0,1,1,0,0,0,2.00,0,0,3.00
Bears,CHI,0,,DT,553388752,Raymond Vohasek,3,0,5221,59,2,4.00,0,0,0,1,0,0,1.00,0,0,2.00
Bears,CHI,0,,CB,553388503,Tyrique Stevenson,3,0,2411,29,2,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Bears,CHI,0,,SS,553386285,Jaquan Brisker,4,0,1194,9,2,2.00,0,2,0,0,0,0,0.00,0,0,2.00
Bears,CHI,0,,CB,553386944,Kyler Gordon,4,0,1738,6,2,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bears,CHI,0,,CB,553387347,Jaylon Johnson,6,0,398,1,2,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Bears,CHI,0,,LEDGE,553388557,Montez Sweat,7,0,9643,98,2,10.00,0,0,0,0,0,0,2.00,0,0,6.00
Bears,CHI,0,,SAM,553386712,T.J. Edwards,7,0,9449,53,2,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bears,CHI,0,,WILL,553386706,Tremaine Edmunds,8,0,8875,49,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bengals,CIN,1,,SAM,553386693,Leo Austin,0,0,10317,48,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,MIKE,553388391,Ramon Manning,0,0,3807,99,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,WILL,553386413,Barrett Carter,1,0,10517,49,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,SAM,553387488,Demetrius Knight Jr.,1,0,10627,44,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,CB,553387926,Josh Newton,2,0,10194,28,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553388703,DJ Turner II,3,0,2438,20,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bengals,CIN,1,,SS,553386157,Jordan Battle,3,0,1298,27,1,12.00,0,1,0,0,2,40,0.00,0,0,6.00
Bengals,CIN,1,,CB,553388589,Cam Taylor-Britt,4,0,1964,29,1,8.00,0,0,0,0,1,16,0.00,0,0,5.00
Bengals,CIN,1,,CB,553387145,Dax Hill,4,0,1766,23,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,FS,553388522,Geno Stone,6,0,590,22,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bengals,CIN,1,,MIKE,553388924,Logan Wilson,6,0,675,55,1,1.00,0,3,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,DT,553387143,B.J. Hill,8,0,8923,92,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bills,BUF,2,,CB,553386999,Maxwell Hairston,1,0,10570,31,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,FS,553386201,Cole Bishop,2,0,10015,24,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,MIKE,553386060,Joe Andreessen,2,0,10864,44,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
Bills,BUF,2,,WILL,553388878,Dorian Williams,3,0,2477,42,1,4.00,0,1,0,0,0,0,0.00,0,0,4.00
Bills,BUF,2,,SS,553388184,Jerrick Reed II,3,0,4907,32,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,WILL,553387716,Marcelino McCrary-Ball,3,0,10937,41,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,CB,553386182,Christian Benford,4,0,2684,47,1,4.00,0,1,0,0,1,16,0.00,0,0,1.00
Bills,BUF,2,,LEDGE,553388286,Greg Rousseau,5,0,928,50,1,4.00,0,0,0,0,0,0,1.00,0,0,2.00
Bills,BUF,2,,DT,553387993,Ed Oliver,7,0,9589,91,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,SS,553388168,Taylor Rapp,7,0,9606,9,1,5.00,0,0,0,0,1,18,0.00,0,0,2.00
Bills,BUF,2,,CB,553387358,Taron Johnson,8,0,8949,7,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,FS,553387325,John Johnson III,9,0,8606,30,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
Bills,BUF,2,,SAM,553387759,Raekwon McMillan,9,0,8661,57,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,REDGE,553386242,Joey Bosa,10,0,7902,97,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
Broncos,DEN,3,,DT,553386078,Earl Little,0,0,4076,66,1,1.00,0,0,0,0,0,0,0.50,0,0,0.00
Broncos,DEN,3,,WILL,553389087,Levi Williams,0,0,3667,42,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,CB,553386138,Jahdae Barron,1,0,10485,23,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Broncos,DEN,3,,DT,553386805,Braden Fiske,2,0,10072,55,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Broncos,DEN,3,,CB,553385990,Kris Abrams-Draine,2,0,9993,31,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,REDGE,553389006,Byron Young,3,0,2491,94,1,1.00,0,0,0,0,0,0,0.50,0,0,0.00
Broncos,DEN,3,,SS,553388408,JL Skinner,3,0,2394,34,1,4.00,0,0,0,0,1,10,0.00,0,0,1.00
Broncos,DEN,3,,CB,553387866,Riley Moss,3,0,2330,21,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Broncos,DEN,3,,FS,553388800,Ar'Darius Washington,5,0,1082,29,1,7.00,0,0,0,0,2,32,0.00,0,0,1.00
Broncos,DEN,3,,SS,553387208,Talanoa Hufanga,5,0,1164,9,1,13.00,0,0,0,0,2,24,1.00,0,0,5.00
Broncos,DEN,3,,MIKE,553388532,Justin Strnad,6,0,593,40,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,MIKE,553386977,Dre Greenlaw,7,0,9480,57,1,7.00,0,0,0,0,1,6,0.00,0,0,4.00
Browns,CLE,4,,MIKE,553388344,Carson Schwesinger,1,0,10724,49,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,DT,553386952,Mason Graham,1,0,10564,94,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,DT,553387001,Mike Hall Jr,2,0,10095,51,1,0.00,0,2,0,0,0,0,0.00,0,0,0.00
Browns,CLE,4,,CB,553387819,Cameron Mitchell,3,0,2315,29,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,CB,553386738,Martin Emerson Jr,4,0,1565,1,1,2.00,0,2,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,,CB,553387924,Greg Newsome II,5,0,1273,0,1,5.00,0,1,0,0,1,1,0.00,0,0,2.00
Browns,CLE,4,,WILL,553388024,Jeremiah Owusu-Koramoah,5,0,1060,6,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,REDGE,553388020,Odafe Oweh,5,0,1602,90,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,,FS,553386623,Grant Delpit,6,0,249,9,1,7.00,0,1,0,0,1,3,0.00,0,0,4.00
